Comment,Designator,Footprint,LCSC Part #
CDSOT23-SM712,D2 ,CDSOT23-SM712,C404012
0.1u,C5 C19 C24,C0603,C80516
1k,R2 R3 R7 R8 R9 R10 R11 R12 R13 R14 R15,R0603,C22548
1n,C6 C7 C8 C9 C10 C11 C12 C13 C14 C15 C16 C17,C0603,C153291
1u,C18 C20 C21 C23,C0603,C431003
2k,R1,R0603,C105576
4.7n,C22,C0603,C2180681
10u,C1 C2 C3 C4,C0603,C86275
120,R5,R0603,C114640
680,R4 R6,R0603,C112310
ADS1262,IC4,SOP65P640X120-28N,C2669963
Green,LED1 LED2 LED3,SML0603,C2922668
SM04B-SRSS-TB,CH1 CH2 CH3 CH4,SM04B-SRSS-TB,C160404
SN65HVD75DRBR,IC3,SON65P300X300X100-9N,C98708
SS34FA,D1,SS34FA,C719833
TPS7B82-Q1,IC1,SOP65P490X110-9N,C5220182
TPS7B82-Q1,IC2,SOP65P490X110-9N,C424924
