Designator,Mid X,Mid Y,Layer,Rotation
C1, 3.49,-8.89,Top,0.0
C2, 6.67,-8.89,Top,180.0
C3,-3.49,-12.07,Top,180.0
C4,-6.67,-12.07,Top,0.0
C5,-3.18,18.41,Top,180.0
C6,12.07,11.43,Top,180.0
C7,14.61,10.16,Top,270.0
C8,12.07, 8.89,Top,180.0
C9,12.07,-9.53,Top,180.0
C10,14.61,-10.16,Top,270.0
C11,12.07,-12.07,Top,180.0
C12,-12.07,-11.43,Top,0.0
C13,-14.61,-10.16,Top,90.0
C14,-12.07,-8.89,Top,0.0
C15,-12.07, 8.89,Top,0.0
C16,-14.61,10.16,Top,90.0
C17,-12.07,11.43,Top,0.0
C18,-1.91,-3.81,Top,270.0
C19, 0.00,-3.81,Top,270.0
C20, 1.91,-3.81,Top,270.0
C21, 3.81, 8.89,Top,90.0
C22,-4.45,-3.81,Top,90.0
C23, 1.91, 8.89,Top,90.0
C24, 0.00, 8.89,Top,90.0
CH1,22.86,10.16,Top,90.0
CH2,22.86,-10.16,Top,90.0
CH3,-22.86,-10.16,Top,270.0
CH4,-22.86,10.16,Top,270.0
D1, 0.00,-10.16,Top,90.0
D2, 0.64,15.88,Top,90.0
IC1, 5.08,-11.43,Top,0.0
IC2,-5.08,-9.53,Top,180.0
IC3,-3.18,15.88,Top,0.0
IC4, 0.00, 2.54,Top,90.0
LED1, 0.00,-17.78,Top,90.0
LED2, 5.71,-17.78,Top,90.0
LED3,-5.71,-17.78,Top,90.0
R1, 0.00,-14.61,Top,90.0
R2, 5.71,-14.61,Top,90.0
R3,-5.71,-14.61,Top,90.0
R4, 3.81,12.70,Top,270.0
R5, 3.81,15.88,Top,270.0
R6, 3.81,19.05,Top,270.0
R7,15.24,12.38,Top,0.0
R8,15.24, 7.94,Top,0.0
R9,15.24,-7.94,Top,0.0
R10,15.24,-12.38,Top,0.0
R11,-15.24,-12.38,Top,180.0
R12,-15.24,-7.94,Top,180.0
R13,-15.24, 7.94,Top,180.0
R14,-15.24,12.38,Top,180.0
R15,-1.91, 8.89,Top,90.0
